"out_of_region_college","degree_bracket_mean","fraction_long_edges_mean","fraction_long_edges_boot_se","wcnt"
"In-State",11.4882203765802,0.515017825215145,0.00591320441129673,644996
"Out-State",11.4882203765802,0.54068944277913,0.00532776029280248,355800
"In-State",13.4900660451716,0.488301761491104,0.00590160515781691,592944
"Out-State",13.4900660451716,0.513502214308099,0.00474223479792785,326881
"In-State",15.9770152829029,0.459856302901236,0.00601783788724419,812662
"Out-State",15.9770152829029,0.486547480695397,0.00483872133942938,446392
"In-State",18.4918647126076,0.436742190055557,0.0059965742035053,498339
"Out-State",18.4918647126076,0.463489681666996,0.00493631830894705,273115
"In-State",20.9818369089154,0.416367583723998,0.00584590616379574,696814
"Out-State",20.9818369089154,0.444708661999023,0.00487207472295891,380866
"In-State",23.9819851681569,0.396234296755282,0.00597486400405109,643924
"Out-State",23.9819851681569,0.424497835560912,0.00470994338504887,351367
"In-State",27.4708140231277,0.376454160773753,0.00603399726970051,784173
"Out-State",27.4708140231277,0.40459495230377,0.00480976529959544,428053
"In-State",31.4733579944982,0.35743456519048,0.00611726477373367,717103
"Out-State",31.4733579944982,0.385091905892815,0.00461807379484223,390171
"In-State",35.4701466489078,0.340897667720539,0.0061954235083285,656558
"Out-State",35.4701466489078,0.369303169801444,0.00472351912637559,354769
"In-State",39.4731092427932,0.326723386019178,0.00615524297855629,603247
"Out-State",39.4731092427932,0.355709216245439,0.00471287515955313,326050
"In-State",43.9561395977663,0.312918511840466,0.00614250401224917,688990
"Out-State",43.9561395977663,0.341788824427657,0.00467639638567726,370941
"In-State",49.4416608724356,0.298084163694155,0.00626109042188878,740800
"Out-State",49.4416608724356,0.326464031640848,0.00455303864205043,398264
"In-State",55.4428188718706,0.284106282345518,0.00631812765754465,660747
"Out-State",55.4428188718706,0.313249060477027,0.00448960312696031,351956
"In-State",61.9229527838462,0.271027049168757,0.00634355067971707,682318
"Out-State",61.9229527838462,0.299997078479128,0.00468412684283298,361795
"In-State",69.4039270795456,0.2578496124072,0.00636597939737211,678995
"Out-State",69.4039270795456,0.287204986847653,0.00462636893656934,357806
"In-State",78.3432136038555,0.2447936835374,0.00638509228594858,722676
"Out-State",78.3432136038555,0.273783790483575,0.00473648926729806,378306
"In-State",88.8242138352219,0.231365788557703,0.0065088860857342,658090
"Out-State",88.8242138352219,0.260262037173617,0.00480049686746404,343354
"In-State",101.675213965837,0.217695254150368,0.00652158986745204,716054
"Out-State",101.675213965837,0.246361019848756,0.00490802268724334,372087
"In-State",118.508145759507,0.203089711990222,0.00668495183403407,682641
"Out-State",118.508145759507,0.231068517444833,0.00501110501444466,351885
"In-State",142.294926982889,0.186623670998782,0.00668766212937057,726427
"Out-State",142.294926982889,0.214179692725777,0.00524613078635832,370987
"In-State",183.026894211874,0.165785938462589,0.00684378175193409,722354
"Out-State",183.026894211874,0.192217816238573,0.00560774182890757,366133
"In-State",306.390537540005,0.134505065636927,0.00744252210769263,647758
"Out-State",306.390537540005,0.157421607899713,0.0063403335243629,331797
