"multiple_high_schools","degree_out_high_school_bracket_mean","fraction_long_edges_out_high_school_mean","fraction_long_edges_out_high_school_boot_se","wcnt"
"Single",11.4876661878538,0.486812197963165,0.00707301998441123,1132879
"Multiple",11.4876661878538,0.516031665880073,0.00630348214092973,27630
"Single",13.4893368514229,0.460981434619322,0.00691622864940947,1035242
"Multiple",13.4893368514229,0.487226282302657,0.00622177437376618,25561
"Single",15.4912973305976,0.43986185849626,0.00686220802152934,957908
"Multiple",15.4912973305976,0.469248603277603,0.00487491585441012,24147
"Single",17.4912706828507,0.421900975866246,0.00689058684954702,889420
"Multiple",17.4912706828507,0.451031341297819,0.00545045811226239,22507
"Single",19.9781980845256,0.402770036635725,0.00666615225871022,1230034
"Multiple",19.9781980845256,0.432208096194322,0.00528310479888177,31690
"Single",22.9802024815275,0.383379847697853,0.00662928407579648,1122302
"Multiple",22.9802024815275,0.413262364597487,0.00525150892372404,29408
"Single",25.9814093103961,0.367030275006405,0.0065854178434123,1028675
"Multiple",25.9814093103961,0.3978804441527,0.00583219380205152,27714
"Single",28.9820220003148,0.352677218862954,0.0066006689208818,946470
"Multiple",28.9820220003148,0.382991890047559,0.00564465199943202,25607
"Single",32.4672280470715,0.33824748214988,0.00646995575786585,1152460
"Multiple",32.4672280470715,0.369439799379744,0.0049782615496289,32120
"Single",36.4690592797846,0.32421029564383,0.0065832357260609,1040504
"Multiple",36.4690592797846,0.358510549825415,0.00579063553409666,28815
"Single",40.4684064365243,0.31192826454126,0.00644046341529993,945247
"Multiple",40.4684064365243,0.344175766894856,0.00587224738348948,26644
"Single",44.9501525511342,0.300055328624801,0.00657694298469493,1058336
"Multiple",44.9501525511342,0.331604077647838,0.00533503111248912,30807
"Single",50.4343300592468,0.287147808631517,0.00647029863480122,1116922
"Multiple",50.4343300592468,0.318473137423722,0.00567643968152308,32508
"Single",56.9097031111728,0.274495819546103,0.00651460195857709,1119307
"Multiple",56.9097031111728,0.305035474678609,0.00586723596480231,33313
"Single",64.3814293635558,0.261995820087516,0.0064292190044825,1083775
"Multiple",64.3814293635558,0.291446209009091,0.00552574649957226,32568
"Single",72.8559733799473,0.249760637513411,0.00654695739234242,1007687
"Multiple",72.8559733799473,0.280575938752837,0.0055075238870598,30628
"Single",83.2483902767556,0.237194200363013,0.00655451441309052,1071580
"Multiple",83.2483902767556,0.268167264882389,0.00563665565687393,33113
"Single",97.0631129459822,0.223637739673474,0.00653670853905964,1067579
"Multiple",97.0631129459822,0.252837703430605,0.00561369025148783,33558
"Single",116.13843975817,0.208758428935045,0.00667309628131996,1037485
"Multiple",116.13843975817,0.238410088987598,0.0055071677301855,33349
"Single",148.677040206391,0.189924173373347,0.00677372585694806,1111966
"Multiple",148.677040206391,0.217900710308597,0.00583349918984246,36533
"Single",252.587876327744,0.16107165666239,0.00731325025075697,995396
"Multiple",252.587876327744,0.185360321550708,0.00596567218167286,34358
